id,Status,Collection,Item Type,Total Checkouts,Total Renewals,Call Number,BibIds
1410268,AVAILABLE,Kids Room,Books,62,19,EJF Roy (paper),1299188
1410270,AVAILABLE,Kids Room,Books,64,25,EJF Park (paper),1198903
1410271,AVAILABLE,Kids Room,Books,76,20,EJF Park (paper),1109130
1410272,AVAILABLE,Kids Room,Books,61,25,EJF Park (paper),1147637
1410273,BILLED,Kids Room,Books,58,26,JF Bake (paper),1189043
1410274,LOST & PAID,Kids Room,Books,67,22,EJF Barr (paper),1268102
1410279,AVAILABLE,Kids Room,Books,61,41,EJF Osbo (paper),1108860
1410282,AVAILABLE,Kids Room,Books,73,31,EJF Osbo (paper),1142600
1410283,AVAILABLE,Kids Room,Books,60,40,EJF Osbo (paper),1142598
1410287,AVAILABLE,Kids Room,Books,62,19,EJF Osbo (paper),1174241
1410298,AVAILABLE,Kids Room,Books,36,21,JSF Sand (paper),1257634
1410301,AVAILABLE,Kids Room,Books,46,12,JF Myra (paper),1203910
1410469,AVAILABLE,Kids Room,Books,39,12,JSF Holu (paper),1336574
1410470,AVAILABLE,Kids Room,Books,41,11,JSF Holu (paper),1336574
1410959,AVAILABLE,Teen Room,Y Fiction,7,5,YF Deuk (paper),1196958
1410960,AVAILABLE,Teen Room,Y Fiction,18,8,YF Mlyn (paper),1219112
1411036,AVAILABLE,Kids Room,Books,71,39,EJF Dade (paper),1336583
1411038,AVAILABLE,Kids Room,Books,54,21,EJF Kirb (paper),1331555
1411039,AVAILABLE,Kids Room,Books,45,28,EJF Roy (paper),1336707
1411040,AVAILABLE,Kids Room,Books,47,22,EJF Roy (paper),1336707
1411041,AVAILABLE,Kids Room,Books,46,23,EJF Roy (paper),1336707
1411263,AVAILABLE,Kids Room,Books,16,9,JSF Skye (paper),1337567
1411344,AVAILABLE,Kids Room,Books,46,30,JF OBri (paper),1049300
1411348,AVAILABLE,Kids Room,Books,26,13,JF Este (paper),1014071
1411386,AVAILABLE,Kids Room,Books,38,13,JF Brez (paper),1337546
1411387,AVAILABLE,Kids Room,Books,22,7,JF Brez (paper),1337541
1411388,AVAILABLE,Kids Room,Books,21,3,JF Brez (paper),1337505
1411389,AVAILABLE,Kids Room,Books,20,2,JF Brez (paper),1337554
1411470,IN MENDING,Kids Room,Books,61,20,JF Myra (paper),1250189
1411591,AVAILABLE,Adult Collection,Adult CD Audiobook,50,31,,1337142
1411679,AVAILABLE,Kids Room,Books,70,27,EJF Barr (paper),1268102
1411980,AVAILABLE,Kids Room,Books,23,12,JSF Drak (paper),1254122
1412871,AVAILABLE,Kids Room,Books,43,18,JF Chil (paper),1201017
1412872,AVAILABLE,Kids Room,Books,41,21,JF Chil (paper),1201017
1412877,AVAILABLE,Kids Room,Books,68,29,EJF Osbo (paper),1108858
1412878,AVAILABLE,Kids Room,Books,63,40,EJF Osbo (paper),1108858
1412881,IN MENDING,Kids Room,Books,67,30,EJF Osbo (paper),1157664
1412907,AVAILABLE,Kids Room,Books,5,3,JSF Coop (paper),1009847
1412911,AVAILABLE,Kids Room,Books,15,6,JF Carb (paper),1167304
1412916,AVAILABLE,Kids Room,Books,40,21,JSF Jacq (paper),1013722
1412921,AVAILABLE,Kids Room,Books,31,19,EJF Appl (paper),1271884
1412922,AVAILABLE,Kids Room,Books,35,17,EJF Appl (paper),1275816
1412932,AVAILABLE,Kids Room,Books,27,11,EJF Clem (paper),1171695
1412938,BILLED,Kids Room,Books,25,6,EJF Pete (paper),1164537
1414101,AVAILABLE,Kids Room,Books,57,36,EJF Osbo (paper),1142592
1414993,AVAILABLE,Teen Room,Y Fiction,28,20,YF Abde (paper),1278525
1415417,AVAILABLE,Kids Room,Books,37,21,JF Schm (paper),1251801
1415429,AVAILABLE,Kids Room,Books,33,20,EJF Abbo (paper),1340482
1415430,AVAILABLE,Kids Room,Books,33,12,EJF Abbo (paper),1340482
1415445,AVAILABLE,Kids Room,Books,55,23,EJF Park (paper),1209719
1415449,AVAILABLE,Kids Room,Books,59,26,EJF Park (paper),1188158
1415450,AVAILABLE,Kids Room,Books,19,8,EJF Sach (paper),1163374
1415451,AVAILABLE,Kids Room,Books,50,35,EJF Brow (paper),1298958
1415840,AVAILABLE,Kids Room,Books,17,9,JF Hutt (paper),1341227
1417442,AVAILABLE,Kids Room,Books,27,10,JSF Holu (paper),1341788
1417443,AVAILABLE,Kids Room,Books,29,12,JSF Holu (paper),1341788
1417637,AVAILABLE,Adult Collection,Books,36,15,917.3049 Fodo,1170382
1417776,AVAILABLE,Kids Room,Books,66,27,EJF Osbo (paper),1148990
1417791,AVAILABLE,Kids Room,Books,13,1,JF Baue (paper),1010210
1417840,AVAILABLE,Kids Room,Books,14,14,JF Jacq (paper),1125852
1418143,AVAILABLE,Adult Collection,Adult Fiction,25,13,SF Prat (paper),1322894
1418149,AVAILABLE,Adult Collection,Adult Fiction,18,5,MYS Crai (paper),1326989
1418150,AVAILABLE,Adult Collection,Adult Fiction,8,6,ROM Sing (paper),1345504
